2019.03.21 07:34:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile kotlin/Sonar way
2019.03.21 07:34:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile go/Sonar way
2019.03.21 07:34:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way Recommended
2019.03.21 07:34:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way
2019.03.21 07:34:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile py/Sonar way
2019.03.21 07:34:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ruby/Sonar way
2019.03.21 07:34:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile cs/Sonar way
2019.03.21 07:34:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile java/Sonar way
2019.03.21 07:34:20 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile web/Sonar way
2019.03.21 07:34:20 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile flex/Sonar way
2019.03.21 07:34:20 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile xml/Sonar way
2019.03.21 07:34:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/PSR-2
2019.03.21 07:34:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Drupal
2019.03.21 07:34:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Sonar way
2019.03.21 07:34:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile vbnet/Sonar way
2019.03.21 07:34:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ts/Sonar way
2019.03.21 07:34:21 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ts/Sonar way recommended
2019.03.21 07:34:22 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2019.03.21 07:34:22 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2019.03.21 07:34:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@3f509692 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/properties*, ...]}]
2019.03.21 07:34:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@2070f917 [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2019.03.21 07:34:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceReroutingFilter@3af67b1b [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2019.03.21 07:34:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@52c8f970 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2019.03.21 07:34:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@50ad4201 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2019.03.21 07:34:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@14abfe24 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2019.03.21 07:34:22 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@218d2217 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
